"path","pinyin","pinyin_tone","voice","first_zeroes","last_zeroes","is_lexical_gap"
"voice_files/a1_FV1.mp3","a","a1","FV1",2206,0,FALSE
"voice_files/a1_FV2.mp3","a","a1","FV2",2149,0,FALSE
"voice_files/a1_FV3.mp3","a","a1","FV3",2133,0,FALSE
"voice_files/a1_MV1.mp3","a","a1","MV1",2150,837,FALSE
"voice_files/a1_MV2.mp3","a","a1","MV2",2170,0,FALSE
"voice_files/a1_MV3.mp3","a","a1","MV3",2157,0,FALSE
"voice_files/a2_FV1.mp3","a","a2","FV1",2144,0,FALSE
"voice_files/a2_FV2.mp3","a","a2","FV2",2149,0,FALSE
"voice_files/a2_FV3.mp3","a","a2","FV3",2117,0,FALSE
"voice_files/a2_MV1.mp3","a","a2","MV1",2160,0,FALSE
"voice_files/a2_MV2.mp3","a","a2","MV2",2167,0,FALSE
"voice_files/a2_MV3.mp3","a","a2","MV3",2151,0,FALSE
"voice_files/a3_FV1.mp3","a","a3","FV1",2155,0,FALSE
"voice_files/a3_FV2.mp3","a","a3","FV2",2113,2,FALSE
"voice_files/a3_FV3.mp3","a","a3","FV3",2111,0,FALSE
"voice_files/a3_MV1.mp3","a","a3","MV1",2167,0,FALSE
"voice_files/a3_MV2.mp3","a","a3","MV2",2173,0,FALSE
"voice_files/a3_MV3.mp3","a","a3","MV3",2127,0,FALSE
"voice_files/a4_FV1.mp3","a","a4","FV1",2084,2,FALSE
"voice_files/a4_FV2.mp3","a","a4","FV2",1920,0,FALSE
"voice_files/a4_FV3.mp3","a","a4","FV3",2154,0,FALSE
"voice_files/a4_MV1.mp3","a","a4","MV1",2139,0,FALSE
"voice_files/a4_MV2.mp3","a","a4","MV2",2189,0,FALSE
"voice_files/a4_MV3.mp3","a","a4","MV3",2138,0,FALSE
"voice_files/ai1_FV1.mp3","ai","ai1","FV1",2123,0,FALSE
"voice_files/ai1_FV2.mp3","ai","ai1","FV2",2107,0,FALSE
"voice_files/ai1_FV3.mp3","ai","ai1","FV3",2143,0,FALSE
"voice_files/ai1_MV1.mp3","ai","ai1","MV1",2160,0,FALSE
